time	V(ds)	I(R1)
Step Information: V2=200m  (Run: 1/10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
8.861075970344245e-003	2.658319e-002	4.128150e-007
2.155638847034425e-002	6.466907e-002	9.862091e-007
3.718138847034425e-002	1.115440e-001	1.662866e-006
5.573607597034425e-002	1.672080e-001	2.425079e-006
7.819701347034425e-002	2.345907e-001	3.288256e-006
1.035876384703443e-001	3.107625e-001	4.186265e-006
1.309313884703443e-001	3.927937e-001	5.061911e-006
1.612048259703443e-001	4.836139e-001	5.921735e-006
1.934313884703443e-001	5.802935e-001	6.711467e-006
2.276110759703443e-001	6.828325e-001	7.408629e-006
2.637438884703443e-001	7.912309e-001	7.989492e-006
3.008532634703443e-001	9.025589e-001	8.419982e-006
3.389392009703443e-001	1.016817e+000	8.687664e-006
3.780017009703443e-001	1.134004e+000	8.780471e-006
9.795642009703443e-001	2.938692e+000	9.064854e-006
9.990954509703443e-001	2.997285e+000	9.074849e-006
1.000000000000000e+000	2.999999e+000	9.075313e-006
Step Information: V2=400m  (Run: 2/10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.837638470344245e-003	2.951286e-002	5.133194e-007
2.350951347034425e-002	7.052842e-002	1.205606e-006
4.108763847034425e-002	1.232627e-001	2.059826e-006
6.159545097034425e-002	1.847861e-001	3.005865e-006
8.600951347034425e-002	2.580281e-001	4.061793e-006
1.133532634703443e-001	3.400593e-001	5.154592e-006
1.446032634703443e-001	4.338092e-001	6.288407e-006
1.787829509703443e-001	5.363481e-001	7.389278e-006
2.149157634703443e-001	6.447464e-001	8.396273e-006
2.530017009703443e-001	7.590042e-001	9.284640e-006
2.930407634703443e-001	8.791213e-001	1.002837e-005
3.350329509703443e-001	1.005098e+000	1.060016e-005
3.780017009703443e-001	1.134004e+000	1.096561e-005
4.209704509703443e-001	1.262910e+000	1.110972e-005
9.785876384703443e-001	2.935762e+000	1.144103e-005
9.990954509703443e-001	2.997285e+000	1.145420e-005
1.000000000000000e+000	2.999999e+000	1.145478e-005
Step Information: V2=600m  (Run: 3/10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.837638470344245e-003	2.951286e-002	5.687691e-007
2.350951347034425e-002	7.052840e-002	1.338207e-006
4.108763847034425e-002	1.232627e-001	2.291778e-006
6.354857597034425e-002	1.906454e-001	3.452306e-006
8.991576347034425e-002	2.697468e-001	4.732585e-006
1.201892009703443e-001	3.605670e-001	6.094389e-006
1.533923259703443e-001	4.601762e-001	7.456460e-006
1.905017009703443e-001	5.715042e-001	8.817608e-006
2.305407634703443e-001	6.916213e-001	1.009721e-005
2.725329509703443e-001	8.175977e-001	1.123024e-005
3.174548259703443e-001	9.523633e-001	1.220715e-005
3.633532634703443e-001	1.090058e+000	1.295574e-005
4.112048259703443e-001	1.233613e+000	1.346888e-005
4.590563884703443e-001	1.377168e+000	1.371010e-005
9.785876384703443e-001	2.935761e+000	1.409780e-005
9.990954509703443e-001	2.997285e+000	1.411391e-005
1.000000000000000e+000	2.999999e+000	1.411462e-005
Step Information: V2=800m  (Run: 4/10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.837638470344245e-003	2.951285e-002	6.240350e-007
2.448607597034425e-002	7.345808e-002	1.529887e-006
4.401732597034425e-002	1.320517e-001	2.694505e-006
6.745482597034425e-002	2.023641e-001	4.027542e-006
9.577513847034425e-002	2.873249e-001	5.545432e-006
1.280017009703443e-001	3.840044e-001	7.150471e-006
1.641345134703443e-001	4.924027e-001	8.797092e-006
2.041735759703443e-001	6.125197e-001	1.043488e-005
2.471423259703443e-001	7.414258e-001	1.197615e-005
2.930407634703443e-001	8.791209e-001	1.337727e-005
3.418688884703443e-001	1.025605e+000	1.459180e-005
3.926501384703443e-001	1.177949e+000	1.555491e-005
4.444079509703443e-001	1.333222e+000	1.622327e-005
4.971423259703443e-001	1.491425e+000	1.658005e-005
9.785876384703443e-001	2.935761e+000	1.703498e-005
9.990954509703443e-001	2.997285e+000	1.705430e-005
1.000000000000000e+000	2.999998e+000	1.705515e-005
Step Information: V2=1  (Run: 5/10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.837638470344245e-003	2.951285e-002	6.791259e-007
2.448607597034425e-002	7.345806e-002	1.667098e-006
4.499388847034425e-002	1.349814e-001	3.003809e-006
7.038451347034425e-002	2.111531e-001	4.584489e-006
